category,categoryOccurrences,blockerCode,blockedOccurrences,pctOfCategory,informationToObtain
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,VERTEX_FACTORY_UNPROVEN,10,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,NAMED_ABI_BLOCKED,8,80.0,named ABI closure for the parent family
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,PROGRAM_EQUATION_EVIDENCE_ABSENT,8,80.0,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,SHADERMAP_ABSENT,8,80.0,no ShaderMap for the parent
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,SOURCE_REGISTER_BINDING_UNRESOLVED,8,80.0,map source parameter names -> registers
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,8,80.0,map source texture parameter -> descriptor slot
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,COOKED_CARRIER_MISMATCH,2,20.0,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,CURRENT_PACKET_CAPACITY_EXCEEDED,2,20.0,layout count caps must be raised (texture lanes / scalars / vectors)
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,OUTPUT_TOPOLOGY_MRT_UNPROVEN,2,20.0,MRT topology: RT0 scene color + RT1 distortion semantics
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,RUNTIME_PACKET_NOT_MATERIALIZED,2,20.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,SAMPLER_STATE_UNPROVEN,2,20.0,per-lane sampler state (filter/address/mip) from source material
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,SCALAR_VECTOR_PACKING_UNRESOLVED,2,20.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,SCENE_INPUTS_UNPROVEN,2,20.0,scene depth/color feedback requirement per program
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,STAGE_INPUT_SEMANTICS_UNPROVEN,2,20.0,stage input semantics (which VS outputs feed the PS)
PARTICLE_TYPEDATA_RIBBON_REQUIRES_CARRIER_REPLACEMENT / NONE_PRESENTATION,10,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,2,20.0,t#/s# register topology from DXBC signature
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,COMPILED_DRAW_DISPATCH_UNPROVEN,4,100.0,C++ compiled adapter + actual draw submission proof (harness)
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,CURRENT_PACKET_CAPACITY_EXCEEDED,4,100.0,layout count caps must be raised (texture lanes / scalars / vectors)
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,OUTPUT_TOPOLOGY_MRT_UNPROVEN,4,100.0,MRT topology: RT0 scene color + RT1 distortion semantics
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,PRODUCT_CONSUMER_ABSENT,4,100.0,"the occurrence is not in any published Product cue (composition work, not material)"
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,RUNTIME_PACKET_NOT_MATERIALIZED,4,100.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,SAMPLER_STATE_UNPROVEN,4,100.0,per-lane sampler state (filter/address/mip) from source material
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,SCALAR_VECTOR_PACKING_UNRESOLVED,4,100.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,SCENE_INPUTS_UNPROVEN,4,100.0,scene depth/color feedback requirement per program
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,STAGE_INPUT_SEMANTICS_UNPROVEN,4,100.0,stage input semantics (which VS outputs feed the PS)
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,4,100.0,t#/s# register topology from DXBC signature
LEGACY_STANDALONE_SPRITE / alpha_one_sided_depth_read,4,VERTEX_FACTORY_UNPROVEN,4,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
CASCADE_RIBBON / alpha_two_sided_depth_read,4,COMPILED_DRAW_DISPATCH_UNPROVEN,4,100.0,C++ compiled adapter + actual draw submission proof (harness)
CASCADE_RIBBON / alpha_two_sided_depth_read,4,VERTEX_FACTORY_UNPROVEN,4,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
CASCADE_RIBBON / alpha_two_sided_depth_read,4,COOKED_CARRIER_MISMATCH,3,75.0,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
CASCADE_RIBBON / alpha_two_sided_depth_read,4,CURRENT_PACKET_CAPACITY_EXCEEDED,3,75.0,layout count caps must be raised (texture lanes / scalars / vectors)
CASCADE_RIBBON / alpha_two_sided_depth_read,4,OUTPUT_TOPOLOGY_MRT_UNPROVEN,3,75.0,MRT topology: RT0 scene color + RT1 distortion semantics
CASCADE_RIBBON / alpha_two_sided_depth_read,4,RUNTIME_PACKET_NOT_MATERIALIZED,3,75.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
CASCADE_RIBBON / alpha_two_sided_depth_read,4,SAMPLER_STATE_UNPROVEN,3,75.0,per-lane sampler state (filter/address/mip) from source material
CASCADE_RIBBON / alpha_two_sided_depth_read,4,SCALAR_VECTOR_PACKING_UNRESOLVED,3,75.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
CASCADE_RIBBON / alpha_two_sided_depth_read,4,SCENE_INPUTS_UNPROVEN,3,75.0,scene depth/color feedback requirement per program
CASCADE_RIBBON / alpha_two_sided_depth_read,4,STAGE_INPUT_SEMANTICS_UNPROVEN,3,75.0,stage input semantics (which VS outputs feed the PS)
CASCADE_RIBBON / alpha_two_sided_depth_read,4,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,3,75.0,t#/s# register topology from DXBC signature
CASCADE_RIBBON / alpha_two_sided_depth_read,4,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,1,25.0,per-occurrence static parameter set -> exact ShaderMap permutation
DECAL_PARTICLE / alpha_one_sided_depth_read,2,COMPILED_DRAW_DISPATCH_UNPROVEN,2,100.0,C++ compiled adapter + actual draw submission proof (harness)
DECAL_PARTICLE / alpha_one_sided_depth_read,2,VERTEX_FACTORY_UNPROVEN,2,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,COMPILED_DRAW_DISPATCH_UNPROVEN,2,100.0,C++ compiled adapter + actual draw submission proof (harness)
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,NAMED_ABI_BLOCKED,2,100.0,named ABI closure for the parent family
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,PROGRAM_EQUATION_EVIDENCE_ABSENT,2,100.0,no equation evidence at all -> BOUNDED or PROJECT_RECONSTRUCTED decision
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,SHADERMAP_ABSENT,2,100.0,no ShaderMap for the parent
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,SOURCE_REGISTER_BINDING_UNRESOLVED,2,100.0,map source parameter names -> registers
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED,2,100.0,map source texture parameter -> descriptor slot
AUTHORED_LEGACY_TRAIL / additive_two_sided_depth_read,2,VERTEX_FACTORY_UNPROVEN,2,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
ANIM_TRAIL / alpha_one_sided_depth_read,2,COMPILED_DRAW_DISPATCH_UNPROVEN,2,100.0,C++ compiled adapter + actual draw submission proof (harness)
ANIM_TRAIL / alpha_one_sided_depth_read,2,COOKED_CARRIER_MISMATCH,2,100.0,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
ANIM_TRAIL / alpha_one_sided_depth_read,2,CURRENT_PACKET_CAPACITY_EXCEEDED,2,100.0,layout count caps must be raised (texture lanes / scalars / vectors)
ANIM_TRAIL / alpha_one_sided_depth_read,2,OUTPUT_TOPOLOGY_MRT_UNPROVEN,2,100.0,MRT topology: RT0 scene color + RT1 distortion semantics
ANIM_TRAIL / alpha_one_sided_depth_read,2,RUNTIME_PACKET_NOT_MATERIALIZED,2,100.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
ANIM_TRAIL / alpha_one_sided_depth_read,2,SAMPLER_STATE_UNPROVEN,2,100.0,per-lane sampler state (filter/address/mip) from source material
ANIM_TRAIL / alpha_one_sided_depth_read,2,SCALAR_VECTOR_PACKING_UNRESOLVED,2,100.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
ANIM_TRAIL / alpha_one_sided_depth_read,2,SCENE_INPUTS_UNPROVEN,2,100.0,scene depth/color feedback requirement per program
ANIM_TRAIL / alpha_one_sided_depth_read,2,STAGE_INPUT_SEMANTICS_UNPROVEN,2,100.0,stage input semantics (which VS outputs feed the PS)
ANIM_TRAIL / alpha_one_sided_depth_read,2,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,2,100.0,t#/s# register topology from DXBC signature
ANIM_TRAIL / alpha_one_sided_depth_read,2,VERTEX_FACTORY_UNPROVEN,2,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
ANIM_TRAIL / additive_one_sided_depth_read,1,COMPILED_DRAW_DISPATCH_UNPROVEN,1,100.0,C++ compiled adapter + actual draw submission proof (harness)
ANIM_TRAIL / additive_one_sided_depth_read,1,COOKED_CARRIER_MISMATCH,1,100.0,cooked DXBC carrier disagrees with authored carrier -> carrier decision needed
ANIM_TRAIL / additive_one_sided_depth_read,1,OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED,1,100.0,per-occurrence static parameter set -> exact ShaderMap permutation
ANIM_TRAIL / additive_one_sided_depth_read,1,RUNTIME_PACKET_NOT_MATERIALIZED,1,100.0,"typed layout packet (texture lanes, scalar/vector packing, masks)"
ANIM_TRAIL / additive_one_sided_depth_read,1,SAMPLER_STATE_UNPROVEN,1,100.0,per-lane sampler state (filter/address/mip) from source material
ANIM_TRAIL / additive_one_sided_depth_read,1,SCALAR_VECTOR_PACKING_UNRESOLVED,1,100.0,scalar/vector CB packed indices from named ABI or DXBC cb0 layout
ANIM_TRAIL / additive_one_sided_depth_read,1,STAGE_INPUT_SEMANTICS_UNPROVEN,1,100.0,stage input semantics (which VS outputs feed the PS)
ANIM_TRAIL / additive_one_sided_depth_read,1,TEXTURE_REGISTER_SAMPLER_TOPOLOGY_UNMATERIALIZED,1,100.0,t#/s# register topology from DXBC signature
ANIM_TRAIL / additive_one_sided_depth_read,1,VERTEX_FACTORY_UNPROVEN,1,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
MESH_PARTICLE / opaque_back_depth_write,1,COMPILED_DRAW_DISPATCH_UNPROVEN,1,100.0,C++ compiled adapter + actual draw submission proof (harness)
MESH_PARTICLE / opaque_back_depth_write,1,VERTEX_FACTORY_UNPROVEN,1,100.0,VF/vertex layout decision per carrier (Sprite/Mesh/Decal/Trail)
MESH_PARTICLE / opaque_back_depth_write,1,WPO_VERTEX_PROGRAM_UNPROVEN,1,100.0,"world-position-offset vertex program (VS, not PS) must be recovered"
